Epoch,Train_Loss,Train_IoU_per_Class,Train_Mean_IoU,Train_F1_per_Class,Train_Mean_F1,Val_Loss,Val_IoU_per_Class,Val_Mean_IoU,Val_F1_per_Class,Val_Mean_F1
21,0.28192940202576144,[0.63326289 0.96155771 0.79867371 0.64641254 0.72840932 0.83433605],0.7671087061825358,[0.77387396 0.9803455  0.88455372 0.77945119 0.83418434 0.9087957 ],0.8602007365797038,0.5092026661885413,[0.48504355 0.92859839 0.63660025 0.50951758 0.51219673 0.69393769],0.6276490323310243,[0.64681782 0.96267598 0.7592904  0.66193021 0.64138794 0.81062014],0.7471204154250236
22,0.26856117474812047,[0.64379787 0.96395165 0.81710138 0.66167585 0.73223733 0.84190262],0.7767777843285858,[0.78077532 0.98158247 0.89647362 0.79188902 0.83717322 0.91331447],0.8668680204837411,0.6214431732108718,[0.47345323 0.92649918 0.65420594 0.26399898 0.49962641 0.67980588],0.5829316013087807,[0.63681923 0.96142961 0.77481525 0.40206125 0.61742245 0.79746391],0.6983352822021116
23,0.2773828476115509,[0.63882877 0.95703073 0.81203814 0.65311116 0.67398138 0.84390688],0.7631495076714566,[0.77775428 0.97795385 0.89438569 0.78348723 0.78861953 0.91434827],0.8560914742116483,2.2780763804912567,[0.38419121 0.83959612 0.26403714 0.06872579 0.34961186 0.34750327],0.3756108982338167,[0.54389883 0.90987628 0.38803961 0.11926123 0.45872708 0.49787557],0.4862797646001526
24,0.25458923658287086,[0.66275581 0.96148917 0.83401658 0.68548158 0.72165979 0.8383884 ],0.783965223238884,[0.7957499  0.98031619 0.90786063 0.80894482 0.82403031 0.91046849],0.8712283898098968,0.5478218448789496,[0.49295775 0.92623684 0.65396289 0.35702059 0.47360158 0.71270669],0.6027477242444691,[0.65410022 0.96124333 0.7747141  0.50855773 0.57950564 0.82493854],0.7171765925983588
25,0.23986465801243428,[0.68229542 0.96421776 0.83309584 0.70685325 0.72714757 0.85759894],0.7952014636018393,[0.80978453 0.98173845 0.90760785 0.82401011 0.82930879 0.92215415],0.8791006462257585,0.5854966416954994,[0.50468482 0.94059051 0.63234698 0.4681967  0.52718969 0.67981788],0.6254710934444151,[0.66634577 0.96918473 0.75672467 0.62423575 0.64307578 0.80011833],0.7432808398230887
26,0.20425163140451466,[0.7205072  0.97182636 0.85581036 0.74359479 0.77181704 0.8748057 ],0.8230602427121297,[0.83639822 0.98569478 0.92036023 0.850616   0.86580167 0.93291597],0.8986311434411708,0.6030000942318063,[0.50303875 0.94351927 0.64537843 0.42564243 0.49000602 0.68514081],0.6154542859347865,[0.6633449  0.97068528 0.7678708  0.58479914 0.60592048 0.8029291 ],0.7325916166717338
27,0.19118274872501692,[0.73876234 0.97349579 0.86832808 0.76284725 0.76848478 0.88233933],0.8323762626559645,[0.84894307 0.98654625 0.92891511 0.86369052 0.86104336 0.93714855],0.9043811444239115,0.5906985943254671,[0.51020577 0.91907427 0.62594959 0.46788652 0.5231069  0.72662435],0.6288078996481649,[0.67139405 0.95739091 0.75150709 0.62259899 0.64468439 0.83532855],0.7471506634647644
28,0.1942645612138289,[0.73332027 0.97011407 0.85947306 0.75923277 0.76147265 0.88128979],0.8274837687818541,[0.84506948 0.98479833 0.92337746 0.86042852 0.8558526  0.93655867],0.9010141765077909,0.6386031606479695,[0.49444099 0.94119866 0.63659954 0.45539342 0.4135366  0.65954869],0.6001196497209175,[0.65673215 0.96946498 0.76083894 0.6131624  0.52978606 0.78566445],0.719274831870894
29,0.1765167755247266,[0.75579856 0.97217736 0.87940059 0.77926275 0.76769097 0.8938353 ],0.8413609239146297,[0.86007803 0.98586393 0.93536298 0.8739681  0.8581906  0.94370681],0.9095284082915313,0.6330982799592771,[0.51224338 0.93699676 0.66128861 0.47609026 0.51311078 0.70629935],0.634338189277594,[0.67297724 0.96711939 0.77978556 0.63461639 0.63464201 0.82043157],0.7515953610229285
30,0.18190016307764584,[0.74731669 0.96685728 0.87265824 0.76961275 0.80047463 0.89699323],0.8423188036698618,[0.85410815 0.98310461 0.93123936 0.86649019 0.88613624 0.94547042],0.9110914967310282,0.6431387325650767,[0.49160904 0.93420407 0.64754824 0.49109359 0.51472508 0.71081189],0.6316653192051761,[0.65446577 0.96567164 0.76925164 0.64422636 0.64102958 0.82292532],0.7495950528407759
